cascao_id,pac_id,pac_estado
179115,174244,programa-completo
179150,174279,caso-nuevo
179224,174353,programa-completo
179327,174456,caso-nuevo
179513,174638,programa-completo
179518,174643,programa-completo
179524,174649,programa-completo
179537,174662,programa-completo
179542,174667,programa-completo
179560,174685,programa-completo
179607,174732,programa-completo
179644,174769,programa-completo
180245,175316,programa-completo
180249,175320,programa-completo
180261,175332,programa-completo
180280,175351,programa-completo
180295,175366,programa-completo
180327,175398,programa-completo
180380,175451,programa-completo
180414,175484,programa-completo
180596,175666,programa-completo
180646,175716,programa-completo
180679,175749,programa-completo
180715,175785,programa-completo
180725,175795,caso-nuevo
181038,176107,programa-completo
181046,176115,programa-completo
181051,176120,programa-completo
181058,176127,programa-completo
181075,176144,programa-completo
181092,176161,programa-completo
181226,176280,programa-completo
181795,176846,programa-completo
181807,176858,programa-completo
181815,176866,programa-completo
181834,176885,programa-completo
181900,176930,programa-completo
182129,177123,programa-completo
182210,177199,programa-completo
183274,178226,programa-completo
183279,178231,programa-completo
183284,178236,programa-completo
183295,178247,programa-activo
183310,178262,caso-nuevo
183326,178278,rechazado-mmgyd
183476,178424,programa-completo
183809,178754,programa-completo
183857,178801,caso-nuevo
183888,178830,programa-completo
183917,178859,programa-completo
183985,178926,programa-completo
184022,178963,programa-completo
184060,179001,programa-completo
184111,179052,programa-completo
184190,179129,programa-completo
184220,179158,programa-completo
184652,179560,programa-completo
184655,179563,programa-completo
184658,179566,programa-completo
184663,179571,programa-completo
184672,179580,programa-completo
184686,179594,caso-nuevo
184726,179615,programa-completo
184749,179638,programa-completo
184805,179691,programa-completo
184881,179742,programa-completo
184915,179776,programa-completo
184974,179835,programa-completo
185011,179871,programa-completo
185120,179978,programa-completo
185203,180060,programa-completo
185234,180091,programa-completo
185259,180116,programa-completo
185518,180373,programa-completo
185525,180380,programa-completo
185533,180388,programa-completo
185547,180402,programa-completo
185567,180422,programa-completo
185612,180466,programa-completo
185922,180736,programa-completo
186008,180820,programa-completo
186046,180858,programa-completo
186101,180908,programa-completo
186134,180941,programa-completo
186152,180958,programa-completo
186177,180981,programa-completo
186522,181290,programa-completo
186528,181296,programa-completo
186545,181313,programa-completo
186567,181335,programa-completo
186677,181440,programa-completo
186719,181481,programa-completo
186824,181586,programa-completo
186883,181644,programa-completo
187093,181809,programa-completo
187124,181839,programa-completo
187501,182142,programa-completo
187510,182151,programa-completo
187519,182160,programa-completo
187536,182177,programa-completo
187545,182186,revision-pendiente
187587,182228,rechazado-mmgyd
187620,182261,programa-completo
187659,182299,programa-completo
187856,182461,programa-completo
187969,182534,programa-completo
188103,182627,programa-completo
188419,182937,programa-completo
188426,182944,programa-completo
188438,182956,programa-completo
188448,182966,programa-completo
188471,182989,programa-completo
188533,183024,programa-activo
188596,183087,programa-completo
188650,183141,programa-completo
188729,183220,programa-completo
188804,183294,programa-completo
188837,183327,programa-completo
188915,183405,programa-completo
189333,183815,programa-completo
189335,183817,programa-completo
189343,183825,programa-completo
189356,183838,programa-completo
189388,183869,caso-nuevo
189421,183898,programa-completo
189445,183922,programa-completo
189558,184035,programa-completo
189622,184099,programa-completo
189702,184179,programa-completo
189817,184291,programa-completo
190037,184505,programa-completo
190050,184518,programa-activo
190064,184532,programa-completo
190072,184540,programa-completo
190107,184575,programa-completo
190204,184662,programa-completo
190515,184969,programa-completo
190588,185042,programa-completo
190936,185364,programa-activo
190993,185409,programa-activo
191066,185482,programa-completo
191453,185868,programa-completo
191721,186134,programa-completo
191738,186151,programa-completo
191753,186166,programa-completo
191766,186178,programa-completo
191785,186197,programa-activo
191830,186242,programa-completo
191907,186319,programa-completo
191955,186360,programa-completo
192036,186404,programa-completo
192137,186505,programa-completo
192232,186596,programa-completo
192258,186622,programa-completo
192273,186636,programa-activo
192281,186644,programa-completo
192298,186660,programa-completo
192532,186889,programa-completo
192641,186998,programa-completo
192666,187023,programa-completo
192757,187113,programa-completo
192789,187145,programa-completo
192830,187186,programa-completo
192864,187219,programa-completo
192908,187263,programa-completo
192954,187309,programa-completo
192965,187320,programa-completo
192987,187342,programa-completo
193519,187873,caso-nuevo
193521,187875,programa-completo
193551,187904,programa-completo
193624,187977,programa-completo
193967,188302,programa-completo
194013,188346,programa-completo
194457,188753,programa-completo
